,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pred_mean,pearson_corr,spearman_corr
ENSMUSG00000057278,2.48160583401077,0.0884827298209832,-0.0181855350824431,-0.0547941587478942,0.0229320872397558,-0.0933799565241191,0.0090710963972338,0.139976536722219,-0.094102799825734,1.3226534749999999,0.32288655052680604,0.7142857142857144
ENSMUSG00000091586,84.4246364982664,-0.264761292392487,-0.181317264669936,-0.445600961585217,0.363352934618282,-0.213154290212891,0.25882743351176,0.946233122654684,-0.463579681924195,0.03653386225000001,0.14167039134863937,-0.07142857142857144
ENSMUSG00000022999,4.67918276608365,0.011920030093135,-0.0186523068677147,0.158031518194138,-0.0264516901482175,-0.0984477240908728,0.000563394886031,-0.0637828010750532,0.0368195790085526,0.07044388,-0.07327341976141279,0.0
ENSMUSG00000022304,45.2574676781119,-0.136526227892659,-0.174571895647635,0.583570584796753,0.149943454189057,-0.200445430088676,0.0108934778120879,-0.374943142541682,0.142079179372754,0.006867290312499999,0.21850688987041358,0.13173888881045848
ENSMUSG00000025823,2.71452143539878,0.0116693229447637,0.0901929726505486,0.0393262870227407,0.0850254063167757,0.0658908279896107,-0.0495540552816713,-0.218981986683735,-0.0235687749590348,9.090789125,0.8924008548752996,0.6190476190476191
ENSMUSG00000007035,104.263620062857,0.77273062086088,-0.475979324481116,-0.146565080023608,-0.461606284146481,-0.285102803426199,-0.330853962364983,0.800752090305439,0.126624743276069,0.036993636875,0.6549133161214804,0.5952380952380953
ENSMUSG00000029462,6.48872636441177,-0.0190997252847005,-0.0069348687604797,0.0275861513477018,-0.0465626228239895,0.0227107377112485,-0.0611676245407846,0.100232492753019,-0.0167645404020149,144.15724,0.8819380531257726,0.880952380952381
ENSMUSG00000089647,45.1543102229451,-0.117760565599126,-0.140676545501214,-0.183599374397883,-0.11429211546202,-0.169655558152895,0.946531093058431,-0.152844572542148,-0.0677023614031462,0.018864632,-0.1580692089565747,-0.4523809523809524
ENSMUSG00000097908,50.7772802658323,0.0747630197426616,-0.0666031667108502,0.126402333524426,0.157170401406219,0.0111880933693396,-0.286585389620059,-0.542153607604204,0.525818315892463,0.06446263525,0.20125825566428518,0.4523809523809524
ENSMUSG00000032440,10.4308868222943,-0.0797824687576991,0.176687411909032,-0.142760839955162,0.185153558512978,-0.0014173884889814,-0.289634669823919,0.229863120890649,-0.0781087242868956,0.01419467125,-0.5603425719597772,-0.7142857142857144
