query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,highlighted
query_1,TRUE,4.94065645841247e-324,11583,5751,4041,0.702660406885759,0.348873348873349,GO:0005737,GO:CC,cytoplasm,26959,309,c("GO:0005622", "GO:0110165"),TRUE
query_1,TRUE,5.57841765984739e-234,6389,5727,2343,0.409114719748559,0.366724056972922,GO:1901564,GO:BP,organonitrogen compound metabolic process,26856,22437,c("GO:0006807", "GO:0071704"),TRUE
query_1,TRUE,2.11473246084278e-218,10378,5747,3437,0.598051157125457,0.331181345153209,GO:0005515,GO:MF,protein binding,24945,1495,GO:0005488,TRUE
query_1,TRUE,2.21406563095508e-155,5721,5747,2094,0.364364016008352,0.366019926586261,GO:0003824,GO:MF,catalytic activity,24945,368,GO:0003674,TRUE
query_1,TRUE,3.80287145339912e-30,1286,5747,481,0.0836958413085088,0.37402799377916,GO:0030234,GO:MF,enzyme regulator activity,24945,3881,GO:0098772,TRUE
query_1,TRUE,4.02938336879096e-23,274,5727,138,0.0240963855421687,0.503649635036496,GO:0048193,GO:BP,Golgi vesicle transport,26856,13218,GO:0016192,TRUE
query_1,TRUE,5.7108682692757e-19,432,5727,181,0.0316046795879169,0.418981481481481,GO:0034470,GO:BP,ncRNA processing,26856,9048,c("GO:0006396", "GO:0034660"),TRUE
query_1,TRUE,1.84371482935346e-18,177,5727,96,0.0167627029858565,0.542372881355932,GO:0000070,GO:BP,mitotic sister chromatid segregation,26856,25,c("GO:0000819", "GO:0140014", "GO:1903047"),TRUE
query_1,TRUE,1.11181800599647e-14,471,5747,190,0.0330607273360014,0.403397027600849,GO:0003712,GO:MF,transcription coregulator activity,24945,341,GO:0140110,TRUE
query_1,TRUE,2.29133539424515e-10,105,5751,56,0.00973743696748392,0.533333333333333,GO:0030684,GO:CC,preribosome,26959,970,GO:1990904,TRUE
query_1,TRUE,2.36545416971686e-09,142,5751,67,0.0116501478003825,0.471830985915493,GO:0000786,GO:CC,nucleosome,26959,93,c("GO:0000785", "GO:0032993"),TRUE
query_1,TRUE,3.04988168490179e-08,95,5751,49,0.00852025734654843,0.515789473684211,GO:0055029,GO:CC,nuclear DNA-directed RNA polymerase complex,26959,2256,c("GO:0000428", "GO:0140513"),TRUE
query_1,TRUE,3.2559474843491e-08,50,5727,33,0.00576217915138816,0.66,GO:0071459,GO:BP,protein localization to chromosome, centromeric region,26856,17503,GO:0034502,TRUE
query_1,TRUE,4.34004378598285e-07,108,5747,54,0.00939620671654776,0.5,GO:0030527,GO:MF,structural constituent of chromatin,24945,3959,GO:0005198,TRUE
query_1,TRUE,2.15944770186951e-06,615,5747,204,0.0354967809291804,0.331707317073171,GO:0060090,GO:MF,molecular adaptor activity,24945,8448,GO:0003674,TRUE
query_1,TRUE,1.64135824701692e-05,213,5751,80,0.0139106242392627,0.375586854460094,GO:0098562,GO:CC,cytoplasmic side of membrane,26959,3205,GO:0098552,TRUE
query_1,TRUE,6.83859240639752e-05,70,5727,36,0.00628601361969618,0.514285714285714,GO:0006487,GO:BP,protein N-linked glycosylation,26856,2256,GO:0006486,TRUE
query_1,TRUE,8.21640729990616e-05,94,5727,44,0.00768290553518421,0.468085106382979,GO:0031123,GO:BP,RNA 3'-end processing,26856,7382,GO:0006396,TRUE
query_1,TRUE,0.000110284331830196,71,5727,36,0.00628601361969618,0.507042253521127,GO:1902017,GO:BP,regulation of cilium assembly,26856,22830,c("GO:0060271", "GO:0120032", "GO:1902115"),TRUE
query_1,TRUE,0.00062916626281049,74,5747,36,0.00626413781103184,0.486486486486487,GO:0000049,GO:MF,tRNA binding,24945,15,GO:0003723,TRUE
query_1,TRUE,0.00173308621611533,51,5727,27,0.00471451021477213,0.529411764705882,GO:0016601,GO:BP,Rac protein signal transduction,26856,5353,GO:0007265,TRUE
query_1,TRUE,0.00217171728084205,78,5727,36,0.00628601361969618,0.461538461538462,GO:0005977,GO:BP,glycogen metabolic process,26856,1874,c("GO:0006112", "GO:0044042"),TRUE
